,ATC_Code,cids,Compound_Name
109,N06BA03,10836,Metamfetamine
110,B03BA05,10898559,Mecobalamin
111,A16AA01,10917,Levocarnitine
112,P03BX05,10921747,Dimethylcarbate
113,A12AA10,109291,Calcium glucoheptonate
114,N07XX08,11001318,Tafamidis
115,A03AB11,11018,Poldine
116,A06AD11,11024312,Lactulose
117,A02AA01,11029,Magnesium carbonate
118,P01AX01,11043,Chiniofon
119,D08AX02,11048,Eosin
120,D08AX02,11049,Eosin
121,G04BE08,110635,Tadalafil
122,A10BH02,11077541,Vildagliptin
123,L01CA01,11104792,Vinblastine
124,N01BA01,11115,Metabutethamine
125,V09AB02,11133125,Iodine iolopride (123I)
126,N05AX15,11154555,Cariprazine
127,S01EE06,11156438,Latanoprostene bunod
128,L01EX05,11167602,Regorafenib
129,A16AX05,11192,Zinc acetate
130,M09AX03,11219835,Ataluren
131,N01AH04,11226,Phenoperidine
132,J01XX11,11234049,Tedizolid
133,A10BH03,11235729,Saxagliptin
134,A10BH03,11243969,Saxagliptin
135,B03AA04,11248,Ferrous carbonate
136,A07DA06,11250029,Eluxadoline
137,H01CC03,11250647,Elagolix
138,B03XA05,11256664,Roxadustat
139,A10BB10,11259,Metahexamide
140,L02BG02,11273,Formestane
141,A07AA02,11286230,Nystatin
142,G03CA06,11289,Chlorotrianisene
143,R06AX04,11291,Phenindamine
144,L01DB08,11296583,Pirarubicin
145,C02KX05,11304743,Riociguat
146,A11DA01,1130,Thiamine (vit B1)
147,J05AX29,11319217,Fostemsavir
148,A06AD11,11333,Lactulose
149,C10AB11,11350701,Choline fenofibrate
150,L01XX41,11354606,Eribulin
151,P01BE05,11358077,Artenimol
152,P01AC01,11367,Diloxanide
153,A03AC02,113918,Dimethylaminopropionylphenothiazine
154,J05AX26,11397521,Amenamevir
155,A12CC03,11418570,Magnesium gluconate
156,V09DA01,11430828,Technetium (99mTc) disofenin
157,V09DA04,11431716,Technetium (99mTc) mebrofenin
158,G04BX10,11439,Succinimide
159,A10BH04,11450633,Alogliptin
160,C07AB14,114905,Landiolol
161,D01AE24,11499245,Tavaborole
162,C01DA09,11499,Trolnitrate
163,V09AX06,11501341,Florbetaben (18F)
164,A04AA04,11503972,Dolasetron
165,R03AC19,11504295,Olodaterol
166,A05BA05,115056,Epomediol
167,R05DA10,11508377,Thebacon
168,L01EB07,11511120,Dacomitinib
169,J01CA08,115163,Pivmecillinam
170,D10AD06,11518241,Trifarotene
171,R03BB07,11519069,Umeclidinium bromide
172,R03BB05,11519741,Aclidinium bromide
173,A05BA09,115198,Metadoxine
174,L01EG03,11520894,Ridaforolimus
175,N05AX13,115237,Paliperidone
176,A16AX04,115355,Nitisinone
177,P01BA07,115358,Tafenoquine
178,A09AB02,11545,Betaine hydrochloride
179,R01AX03,11553369,Ipratropium bromide
180,L01XG02,11556711,Carfilzomib
181,L04AA32,11561674,Apremilast
182,A12AA30,11578,Calcium laevulate
183,A12CC07,11586912,Magnesium levulinate
184,N06BA12,11597698,Lisdexamfetamine
185,L01EM01,11625818,Idelalisib
186,L01ED01,11626560,Crizotinib
187,J01DD15,11655595,Cefdinir
188,A08AA11,11658860,Lorcaserin
189,B02BX09,11671467,Fostamatinib
190,C09DB04,11672431,Telmisartan and amlodipine
191,L03AX15,11672602,Mifamurtide
192,J01FA15,11693521,Telithromycin
193,A03AB02,11693,Glycopyrronium bromide
194,L01EE01,11707110,Trametinib
195,B03XA01,11751549,Erythropoietin
196,R03BB08,11753673,Revefenacin
197,V10AX05,117587627,Rhenium (186Re) sulfide colloid
198,J01XX09,117590581,Daptomycin
199,L01CA05,117590595,Vinflunine
200,A07AA12,117590639,Fidaxomicin
201,C01AA02,11765960,Acetyldigoxin
202,B05BC02,1176,Carbamide
203,J01XX02,11777299,Xibornol
204,D07AB07,11794741,Fluprednidene
205,L01EX18,118023034,Avapritinib
206,L01CA05,118218024,Vinflunine
207,P01BE05,11832956,Artenimol
208,C07AB12,118422671,Nebivolol
209,M09AX10,118513932,Risdiplam
210,G01AA11,118701617,Pentamycin
211,A04AA02,118701621,Granisetron
212,J01XA05,118701706,Oritavancin
213,B03BA01,118701720,Cyanocobalamin
214,J01FA15,118701745,Telithromycin
215,M01CB04,118705487,Aurothioglucose
216,B01AE02,118856773,Lepirudin
217,V08CA07,118984355,Ferric ammonium citrate
218,A10AB01,118984375,Insulin (human)
219,D08AJ10,118984404,Decamethoxine
220,N04AA10,118984411,Mazaticol
221,A10AB05,118984445,Insulin aspart
222,A10AE04,118984454,Insulin glargine
223,L01XX36,118984457,Oblimersen
224,B06AC03,118984459,Ecallantide
225,A10AE06,118984462,Insulin degludec
226,J05AP05,118984465,Simeprevir
227,S01EE51,118984471,Latanoprost and netarsudil
228,A02BX05,118987133,Bismuth subcitrate
229,A16AX16,119058042,Givosiran
230,L01BB06,119182,Clofarabine
231,A10BK03,11949646,Empagliflozin
232,A10BH08,11949652,Teneligliptin
233,A10BH06,11953153,Gemigliptin
234,G03CB04,11954041,Moxestrol
235,D07AC06,11954369,Diflucortolone
236,V09FX02,11954386,Sodium iodide (123I)
237,N04BC05,119570,Pramipexole
238,D11AX22,11957587,Ivermectin
239,A03FA09,119584,Mosapride
240,L01XK05,11960529,Veliparib
241,M01AH03,119607,Valdecoxib
242,N03AX25,11962412,Cenobamate
243,S01XA25,11965427,Lifitegrast
244,V04CX01,11967809,Indocyanine green
245,A04AD01,11968014,Scopolamine
246,A03BB05,11969536,Cimetropium bromide
247,B03BA01,11970261,Cyanocobalamin
248,D08AC01,11974,Dibrompropamidine
249,N05AX16,11978813,Brexpiprazole
250,D06AX10,11979535,Virginiamycin
251,J05AR10,11979606,Lopinavir and ritonavir
252,D01AA03,11979956,Hachimycin
253,M01AH04,119828,Parecoxib
254,A10BK07,11988953,Luseogliflozin
255,J01MB08,11993740,Nemonoxacin
256,N04AC01,1201549,Benzatropine
257,P01AX10,12015870,Fumagillin
258,N02BA08,120183,Morpholine salicylate
259,R05CB01,12035,Acetylcysteine
260,R05DB18,120508,Prenoxdiazine
261,H01AC04,121235530,Sermorelin
262,A16AA05,121396,Carglumic acid
263,L03AX21,121488177,Elapegademase
264,C01BA13,121515,Hydroquinidine
265,A10BX08,121891,Mitiglinide
266,N03AX21,121892,Retigabine
267,V09XX03,122051,Selenium (75Se) norcholesterol
268,L01CA02,122172881,Vincristine
269,A10BF01,122172882,Acarbose
270,D11AX22,122172888,Ivermectin
271,J05AP05,122172922,Simeprevir
272,L01CB02,122172961,Teniposide
273,J02AX06,122172975,Anidulafungin
274,J01FA06,122172998,Roxithromycin
275,L01DB08,122173004,Pirarubicin
276,C01AA09,122173795,Gitoformate
277,H01CB03,122173799,Lanreotide
278,H05BA02,122173809,Calcitonin (pork natural)
279,J01FA07,122174042,Josamycin
280,V09AX03,122197528,Iodine (124I) 2beta-carbomethoxy-3beta-(4 iodophenyl)-tropane
281,V09IX07,122197546,Fluorocholine(18F)
282,R01AX01,122197551,Calcium hexamine thiocyanate
283,N06BX21,122282,Tetramethylglycoluril
284,L01XD06,122335,Efaproxiral
285,R03DX02,122553,Eprozinol
286,A11CC02,12310749,Dihydrotachysterol
287,J01DD15,123133951,Cefdinir
288,J01FA03,123133975,Midecamycin
289,V08CA03,123134693,Gadodiamide
290,L01XH02,123135747,Romidepsin
291,C01AX02,12314120,Peruvoside
292,C08DA02,1234,Gallopamil
293,N02CC05,123606,Almotriptan
294,M01AH05,123619,Etoricoxib
295,J01CG02,123630,Tazobactam
296,L01EB01,123631,Gefitinib
297,J01DD13,123816,Cefpodoxime
298,V09DX01,123829,Selenium (75Se) tauroselcholic acid
299,C01EB22,123868,Meldonium
300,J01DD10,123891,Cefetamet
301,J01DD05,123931031,Cefmenoxime
302,B05XB02,123935,Alanyl glutamine
303,R01AX03,124080907,Ipratropium bromide
304,M01CB03,124081048,Auranofin
305,J05AX25,124081896,Baloxavir marboxil
306,R06AX27,124087,Desloratadine
307,J01MA19,124093,Garenoxacin
308,J01DD13,124389585,Cefpodoxime
309,N05AF02,12454,Clopenthixol
310,D11AX22,124870718,Ivermectin
311,D11AX22,124870720,Ivermectin
312,V03AB32,124886,Glutathione
313,C03BA03,12492,Clopamide
314,N06AX23,125017,Desvenlafaxine
315,N02AX01,12546498,Tilidine
316,A01AD02,12555,Benzydamine
317,D10AF02,12560,Erythromycin
318,M09AA01,1257698,Hydroquinine
319,N05AB09,12598,Butaperazine
320,C01DX05,12604,Carbocromen
321,D06BB11,12620,Docosanol
322,B03BA03,126480146,Hydroxocobalamin
323,V08DA03,12675,Perflenapent
324,A10AB01,126843196,Insulin (human)
325,A10AB05,126843213,Insulin aspart
326,L01BA01,126941,Methotrexate
327,P01BE03,126963478,Artesunate
328,A11CC06,126968450,Calcifediol
329,J01FA13,126968498,Dirithromycin
330,B01AE05,126968951,Ximelagatran
331,J01FA07,126969097,Josamycin
332,J01FA06,126969152,Roxithromycin
333,D11AH02,126969212,Pimecrolimus
334,D06AX10,127053480,Virginiamycin
335,N06AX18,127151,Reboxetine
336,J01DC13,127527,Cefbuperazone
337,A12CC05,12774278,Magnesium aspartate
338,A10BB04,12818200,Glibornuride
339,A05BA08,128229,Glycyrrhizic acid
340,A02BB02,12851498,Enprostil
341,N07XX03,128919,Xaliproden
342,J01EC03,12894,Sulfamoxole
343,V08CA04,129009859,Gadoteridol
344,P01BE02,129009869,Artemether
345,P01BE03,129009911,Artesunate
346,D10AF01,129009913,Clindamycin
347,L01CA01,129009934,Vinblastine
348,L01CB02,129009948,Teniposide
349,J01XX09,129009962,Daptomycin
350,J01FA13,129009964,Dirithromycin
351,A10BH03,129009973,Saxagliptin
352,P01BE01,129010000,Artemisinin
353,D11AH02,129010022,Pimecrolimus
354,A10BF01,129010024,Acarbose
355,V08CA01,129010026,Gadopentetic acid
356,J05AP08,129010435,Sofosbuvir
357,G04CA02,129211,Tamsulosin
358,N03AF03,129228,Rufinamide
359,B05CA06,1292,Mandelic acid
360,P01BE03,129317578,Artesunate
361,L01EG01,129317846,Temsirolimus
362,A10BH03,129317852,Saxagliptin
363,D11AH02,129317859,Pimecrolimus
364,B03BA01,129627537,Cyanocobalamin
365,B03BA01,129627679,Cyanocobalamin
366,J02AX04,129627691,Caspofungin
367,D10AF01,129627692,Clindamycin
368,B02AB01,129627711,Aprotinin
369,A07AA02,129627734,Nystatin
370,J01FG01,129627791,Pristinamycin
371,J01FA02,129627802,Spiramycin
372,B06AC03,129628207,Ecallantide
373,J01FA13,129629095,Dirithromycin
374,V08CA02,129629180,Gadoteric acid
375,D01AA03,129636405,Hachimycin
376,J04AA03,129642557,Calcium aminosalicylate
377,V08CA08,129670662,Gadobenic acid
378,P01BC02,12986439,Mefloquine
379,C01CE04,129893475,Bucladesine
380,B03BA03,129893562,Hydroxocobalamin
381,B03BA04,129893563,Cobamamide
382,V08CA02,129893891,Gadoteric acid
383,H01AC07,129894493,Somapacitan
384,L01XH02,129905275,Romidepsin
385,J01CG01,130313,Sulbactam
386,C09CA08,130881,Olmesartan medoxomil
387,G03AC03,13109,Levonorgestrel
388,A11HA30,131204,Dexpanthenol
389,A12AA13,13136,Calcium citrate
390,J01DE02,13138129,Cefpirome
391,J05AX13,131411,Umifenovir
392,A12AA05,13144,Calcium lactate
393,J05AE07,131536,Fosamprenavir
394,A07AA12,131668620,Fidaxomicin
395,J01FG01,131668621,Pristinamycin
396,A06AX04,131673845,Linaclotide
397,J01FA02,131674879,Spiramycin
398,N04BD03,131682,Safinamide
399,V08CA08,131704172,Gadobenic acid
400,V08CA10,131704314,Gadoxetic acid
401,V09GA02,131704316,Technetium (99mTc) tetrofosmin
402,V09AX01,131704319,Indium (111In) pentetic acid
403,V09IB01,131704321,Indium (111In) pentetreotide
404,V09DA02,131704327,Technetium (99mTc) etifenin
405,V09FX01,131709156,Technetium (99mTc) pertechnetate
406,A10BJ02,131709229,Liraglutide
407,J01DD15,131714458,Cefdinir
408,B03BA05,131724228,Mecobalamin
409,D11AH02,131750284,Pimecrolimus
410,L01DB08,131750285,Pirarubicin
411,A07BC03,131751496,Crospovidone
412,A10BJ07,131801470,Beinaglutide
413,M09AX07,131801471,Nusinersen
414,J05AR21,131801472,Dolutegravir and rilpivirine
415,A06AD11,131839611,Lactulose
416,P02CX03,131954608,Moxidectin
417,J01FG01,131954782,Pristinamycin
418,H01AC04,131954786,Sermorelin
419,L01CA04,13200033,Vinorelbine
420,L01EG01,132274070,Temsirolimus
421,J01XX09,132274074,Daptomycin
422,J01FA13,132274080,Dirithromycin
423,J01FA13,132274085,Dirithromycin
424,V10XX04,132274234,Lutetium (177Lu) oxodotreotide
425,J01FG01,132285148,Pristinamycin
426,A10BJ03,132427670,Lixisenatide
427,H01BB01,13242839,Demoxytocin
428,P01BE02,132451910,Artemether
429,A07AA12,132472265,Fidaxomicin
430,D06AX07,132477936,Gentamicin
431,B03AA09,13270162,Ferrous aspartate
432,N07AX03,132935795,Cevimeline
433,C01BA13,132965784,Hydroquinidine
434,L02BX03,132971,Abiraterone
435,C01EB17,132999,Ivabradine
436,R06AX28,133017,Rupatadine
437,A01AB10,133053818,Natamycin
438,A07AA02,133124921,Nystatin
439,L01CA01,133126830,Vinblastine
440,G03AC07,13313,Norgestrienone
441,N05CD06,13314,Lormetazepam
442,J01XA04,133268464,Dalbavancin
443,L01EG03,133268486,Ridaforolimus
444,L01CA01,13342,Vinblastine
445,A12BA02,13344,Potassium citrate
446,C01AX02,133556245,Peruvoside
447,A06AD21,13355,Sodium tartrate
448,J01AA04,133562720,Lymecycline
449,J01FA05,133562742,Oleandomycin
450,J01FA08,133562799,Troleandomycin
451,H01CB04,133566183,Vapreotide
452,J01FA06,133611834,Roxithromycin
453,J01XX09,133640189,Daptomycin
454,D11AH02,133659920,Pimecrolimus
455,J01DD02,133687818,Ceftazidime
456,M05BX03,133701186,Strontium ranelate
457,M04AA03,134018,Febuxostat
458,L01DB11,134019,Pixantrone
459,D11AH02,134129698,Pimecrolimus
460,C01BA12,134129846,Lorajmine
461,A02BX01,134613184,Carbenoxolone
462,D11AX22,134687046,Ivermectin
463,C01AX02,134687896,Peruvoside
464,J01FA02,134687906,Spiramycin
465,A11CC03,134688803,Alfacalcidol
466,J01DD03,134689739,Cefsulodin
467,D07AC18,134689747,Prednicarbate
468,A02BX01,134689748,Carbenoxolone
469,G03AC07,134689755,Norgestrienone
470,A11DA02,134689784,Sulbutiamine
471,L01DB08,134692159,Pirarubicin
472,J01FA07,134692189,Josamycin
473,J01XX12,134692784,Lefamulin
474,J01FA03,134693167,Midecamycin
475,J01FA13,134693953,Dirithromycin
476,G03AD02,134694094,Ulipristal
477,M03BX05,134694187,Thiocolchicoside
478,H01CB03,134694358,Lanreotide
479,L01CB02,134694361,Teniposide
480,A11CC03,134694392,Alfacalcidol
481,A10BH03,134694638,Saxagliptin
482,A10BF01,134694648,Acarbose
483,A11CC06,134694705,Calcifediol
484,D11AH02,134694728,Pimecrolimus
485,B01AC11,134694981,Iloprost
486,J01FA15,134695314,Telithromycin
487,L03AX15,134695350,Mifamurtide
488,J05AP05,134695356,Simeprevir
489,L01AD04,134695375,Streptozocin
490,M03AC10,134715443,Mivacurium chloride
491,A11CC02,134715456,Dihydrotachysterol
492,J01DI04,134715497,Cefiderocol
493,L01CD03,134715513,Paclitaxel poliglumex
494,J01FA02,134715567,Spiramycin
495,C09AA09,134715568,Fosinopril
496,G02AD03,134715739,Gemeprost
497,J01FA02,134717663,Spiramycin
498,A05BA08,134747495,Glycyrrhizic acid
499,A01AB10,134751826,Natamycin
500,A07AA11,134754217,Rifaximin
501,A07AA11,134754219,Rifaximin
502,L01CA02,134755071,Vincristine
503,A04AD01,134767951,Scopolamine
504,L04AX06,134780,Pomalidomide
505,V08CA07,134816864,Ferric ammonium citrate
506,V08CA03,134819268,Gadodiamide
507,V08CA04,134819269,Gadoteridol
508,V08CA01,134819291,Gadopentetic acid
509,V08CA08,134819292,Gadobenic acid
510,V08CA02,134819293,Gadoteric acid
511,B03BA03,134820153,Hydroxocobalamin
512,H03BB02,1349907,Thiamazole
513,A07DA01,13505,Diphenoxylate
514,V09IX01,135326,Iobenguane (123I)
515,A11CC03,135391135,Alfacalcidol
516,J01FA06,135391136,Roxithromycin
517,A07AA12,135391138,Fidaxomicin
518,A07AA11,135391139,Rifaximin
519,D11AX22,135391144,Ivermectin
520,A11CC06,135391164,Calcifediol
521,J01FA02,135391165,Spiramycin
522,C01BA08,135398003,Prajmaline
523,J05AF10,135398508,Entecavir
524,D06BB03,135398513,Aciclovir
525,D06BB05,135398641,Inosine
526,A16AX07,135398654,Sapropterin
527,B03BB01,135398658,Folic acid
528,J04AB02,135398735,Rifampicin
529,N05AH02,135398737,Clozapine
530,L01AX04,135398738,Dacarbazine
531,J05AF02,135398739,Didanosine
532,J05AB06,135398740,Ganciclovir
533,J05AB11,135398742,Valaciclovir
534,J04AB04,135398743,Rifabutin
535,G04BE03,135398744,Sildenafil
536,N05AH03,135398745,Olanzapine
537,V03AB04,135398747,Pralidoxime
538,D06BB06,135398748,Penciclovir
539,L01BA03,135400182,Raltitrexed
540,G04BE09,135400189,Vardenafil
541,M04AA01,135401907,Allopurinol
542,V03AF03,135403647,Calcium folinate
543,J04AB05,135403821,Rifapentine
544,L01XX35,135409400,Anagrelide
545,A06AX06,135409453,Tegaserod
546,C09CA09,135409642,Azilsartan medoxomil
547,L01BA04,135410875,Pemetrexed
548,V03AB13,135412781,Obidoxime
549,N05BA24,135412795,Bentazepam
550,J05AB14,135413535,Valganciclovir
551,A04AD12,135413536,Aprepitant
552,J01DI01,135413544,Ceftobiprole medocaril
553,G04BE11,135413547,Udenafil
554,N05BX03,135413553,Etifoxine
555,L01EX09,135423438,Nintedanib
556,V03AF04,135430812,Calcium levofolinate
557,V03AF03,135430945,Calcium folinate
558,V03AF03,135436482,Calcium folinate
559,N06BA08,135436543,Fenozolone
560,J04AB02,135441414,Rifampicin
561,M04AA02,135445058,Tisopurine
562,J04AB05,135448133,Rifapentine
563,J05AX05,135449284,Inosine pranobex
564,B02BX05,135449332,Eltrombopag
565,J04AB02,135449527,Rifampicin
566,J01DI01,135456161,Ceftobiprole medocaril
567,J04AB04,135458645,Rifabutin
568,V03AB04,135484646,Pralidoxime
569,V03AF04,135500522,Calcium levofolinate
570,J04AB02,135512673,Rifampicin
571,J04AB02,135550179,Rifampicin
572,L01XX58,135564890,Epacadostat
573,L01XK04,135565082,Talazoparib
574,L01EM02,135565596,Copanlisib
575,V03AF10,135565660,Sodium levofolinate
576,L01EL03,135565884,Zanubrutinib
577,N04BX04,135565903,Opicapone
578,B01AX01,135565962,Defibrotide
579,G03AD02,13559279,Ulipristal
580,G03AD02,13559281,Ulipristal
581,V03AF06,135612766,Sodium folinate
582,J04AB05,135659016,Rifapentine
583,J01XA04,135659030,Dalbavancin
584,J04AB02,135665293,Rifampicin
585,V03AB13,135705158,Obidoxime
586,J04AB05,135749824,Rifapentine
587,J04AB02,135876149,Rifampicin
588,V03AF03,135883785,Calcium folinate
589,J04AB05,135887820,Rifapentine
590,J04AB02,135900090,Rifampicin
591,J05AP05,135905396,Simeprevir
592,J04AB02,135921134,Rifampicin
593,J04AB02,135925261,Rifampicin
594,J04AB05,135925739,Rifapentine
595,J04AB04,135925740,Rifabutin
596,J04AB02,135925741,Rifampicin
597,J04AB05,135932821,Rifapentine
598,J04AB04,135950975,Rifabutin
599,J04AB05,135968625,Rifapentine
600,V03AF04,136047905,Calcium levofolinate
601,J04AB04,136053407,Rifabutin
602,J04AB05,136073066,Rifapentine
603,J04AB04,136117120,Rifabutin
604,J04AB02,136122621,Rifampicin
605,J04AB05,136122663,Rifapentine
606,J04AB05,136238508,Rifapentine
607,J04AB05,136246610,Rifapentine
608,J04AB02,136246612,Rifampicin
609,J04AB04,136257950,Rifabutin
610,L03AX07,136374402,Poly I:C
611,J04AB02,136601293,Rifampicin
612,J04AB02,136619758,Rifampicin
613,J04AB02,136709103,Rifampicin
614,J04AB05,137030254,Rifapentine
615,J04AB05,137091916,Rifapentine
616,J04AB05,137235501,Rifapentine
617,J04AB02,137286743,Rifampicin
618,J04AB02,137287990,Rifampicin
619,J04AB04,137295261,Rifabutin
620,L01EG01,137295275,Temsirolimus
621,J01DI01,137295283,Ceftobiprole medocaril
622,L01EG03,137303705,Ridaforolimus
623,J04AB04,137313637,Rifabutin
624,B03BA01,137332389,Cyanocobalamin
625,R05DB07,13738,Oxolamine
626,A07AX03,13764,Nifuroxazide
627,A14AB02,13765,Ethylestrenol
628,J01FA03,137699105,Midecamycin
629,A06AX04,137699188,Linaclotide
630,L01CB02,137701349,Teniposide
631,P02CX03,137701808,Moxidectin
632,L01EG03,137704508,Ridaforolimus
633,J01FA02,137704528,Spiramycin
634,J01FA06,137704612,Roxithromycin
635,A11CC06,137704803,Calcifediol
636,P01BE02,137704805,Artemether
637,L01DB08,137704806,Pirarubicin
638,P01BE01,137704955,Artemisinin
639,A01AB10,137705128,Natamycin
640,B06AC02,137705994,Icatibant
641,J01FA07,137706167,Josamycin
642,A05BA08,137706400,Glycyrrhizic acid
643,J01XX09,137706513,Daptomycin
644,J05AP06,137706622,Asunaprevir
645,C03DA03,13789,Canrenone
646,J05AP06,137967122,Asunaprevir
647,L01XD04,137,Aminolevulinic acid
648,N06BX06,13804,Citicoline
649,N06BX06,13805,Citicoline
650,H01CB02,138107728,Octreotide
651,D11AH02,138107776,Pimecrolimus
652,J01FA03,138107784,Midecamycin
653,J01FA13,138107815,Dirithromycin
654,M09AA01,138107851,Hydroquinine
655,J01DI04,138376495,Cefiderocol
656,H01CB03,138393800,Lanreotide
657,A01AB10,138393806,Natamycin
658,A10BJ01,138394057,Exenatide
659,J02AX06,138394205,Anidulafungin
660,J02AX04,138394206,Caspofungin
661,V09IA08,138402789,Technetium (99mTc) etarfolatide
662,M01CB03,138402869,Auranofin
663,J01FA15,138402871,Telithromycin
664,L01AD04,138403271,Streptozocin
665,A07AA02,138403272,Nystatin
666,A01AB10,138403275,Natamycin
667,J04AB05,138404395,Rifapentine
668,C09AA14,13854106,Temocapril
669,P01AX10,138756125,Fumagillin
670,B03BA01,139030973,Cyanocobalamin
671,P02CX03,139031013,Moxidectin
672,J01DI04,139033164,Cefiderocol
673,B03BA04,139033579,Cobamamide
674,D01AA07,13916,Pyrrolnitrin
675,J01DI01,139292184,Ceftobiprole medocaril
676,J02AX04,139586083,Caspofungin
677,J01FA06,139592915,Roxithromycin
678,L04AC03,139595263,Anakinra
679,B01AE02,139600825,Lepirudin
680,A06AB05,14030006,Castor oil
681,J04AK02,14052,Ethambutol
682,N06BX22,14113,Phenibut
683,N02BE04,14130,Bucetin
684,J02AC02,14179008,Itraconazole
685,J02AC02,14179013,Itraconazole
686,N06BX02,14190,Pyritinol
687,D08AJ04,14250,Cetrimide
688,D08AJ04,14251,Cetrimide
689,H01BA05,14257660,Ornipressin
690,V08AC10,14381,Calcium iopodate
691,V08CA07,14457,Ferric ammonium citrate
692,A04AA04,14476155,Dolasetron
693,R07AX01,145068,Nitric oxide
694,A05BA04,14520,Citiolone
695,A11CC03,145705666,Alfacalcidol
696,A11CC06,145705670,Calcifediol
697,A11CC03,145705856,Alfacalcidol
698,H05AA04,145705876,Abaloparatide
699,B03BA05,145705915,Mecobalamin
700,M03AC10,145705976,Mivacurium chloride
701,M03AC07,145705978,Doxacurium chloride
702,J01XX12,145705980,Lefamulin
703,L01EG01,145712265,Temsirolimus
704,N06BA06,14584,Fencamfamin
705,N06BX14,14592,Prolintane
