,ATC_Code,cids,Compound_Name,inchi_key,pert_id
38,A10BH03,11243969,Saxagliptin,QGJUIPDUBHWZPV-SGTAVMJGSA-N,BRD-A81513827
39,G03CA06,11289,Chlorotrianisene,BFPSDSIWYFKGBC-UHFFFAOYSA-N,BRD-K27062708
40,L01DB08,11296583,Pirarubicin,KMSKQZKKOZQFFG-YXRRJAAWSA-N,BRD-K83794624
41,C02KX05,11304743,Riociguat,WXXSNCNJFUAIDG-UHFFFAOYSA-N,BRD-K84783599
42,A11DA01,1130,Thiamine (vit B1),JZRWCGZRTZMZEH-UHFFFAOYSA-N,BRD-K95785345
43,A10BH04,11450633,Alogliptin,ZSBOMTDTBDDKMP-OAHLLOKOSA-N,BRD-K83003151
44,L01EB07,11511120,Dacomitinib,LVXJQMNHJWSHET-AATRIKPKSA-N,BRD-K57169635
45,A16AX04,115355,Nitisinone,OUBCNLGXQFSTLU-UHFFFAOYSA-N,BRD-K01109406
46,L01XG02,11556711,Carfilzomib,BLMPQMFVWMYDKT-NZTKNTHTSA-N,BRD-K15179879
47,L04AA32,11561674,Apremilast,IMOZEMNVLZVGJZ-QGZVFWFLSA-N,BRD-K93208532
48,L01EM01,11625818,Idelalisib,IFSDAJWBUCMOAH-HNNXBMFYSA-N,BRD-K60866521
49,L01ED01,11626560,Crizotinib,KTEIFNKAUNYNJU-GFCCVEGCSA-N,BRD-K78431006
50,A08AA11,11658860,Lorcaserin,XTTZERNUQAFMOF-QMMMGPOBSA-N,BRD-K55013654
51,L01EE01,11707110,Trametinib,LIRYPHYGHXZJBZ-UHFFFAOYSA-N,BRD-K12343256
52,B05BC02,1176,Carbamide,XSQUKJJJFZCRTK-UHFFFAOYSA-N,BRD-K88052444
53,L01BB06,119182,Clofarabine,WDDPHFBMKLOVOX-AYQXTPAHSA-N,BRD-K34022604
54,A10BK03,11949646,Empagliflozin,OBWASQILIWPZMG-QZMOQZSNSA-N,BRD-K53765467
55,A10BH08,11949652,Teneligliptin,WGRQANOPCQRCME-PMACEKPBSA-N,BRD-K48068743
56,N04BC05,119570,Pramipexole,FASDKYOPVNHBLU-ZETCQYMHSA-N,BRD-K06388322
57,A03FA09,119584,Mosapride,YPELFRMCRYSPKZ-UHFFFAOYSA-N,BRD-A39052811
58,L01XK05,11960529,Veliparib,JNAHVYVRKWKWKQ-CYBMUJFWSA-N,BRD-K87142802
59,M01AH03,119607,Valdecoxib,LNPDTQAFDNKSHK-UHFFFAOYSA-N,BRD-K12994359
60,N05AX16,11978813,Brexpiprazole,ZKIAIYBUSXZPLP-UHFFFAOYSA-N,BRD-K00911143
61,M01AH04,119828,Parecoxib,TZRHLKRLEZJVIJ-UHFFFAOYSA-N,BRD-K13800121
62,R05CB01,12035,Acetylcysteine,PWKSKIMOESPYIA-BYPYZUCNSA-N,BRD-K59058747
63,A16AA05,121396,Carglumic acid,LCQLHJZYVOQKHU-VKHMYHEASA-N,BRD-K60240222
64,A10BX08,121891,Mitiglinide,WPGGHFDDFPHPOB-BBWFWOEESA-N,BRD-K52959329
65,N03AX21,121892,Retigabine,PCOBBVZJEWWZFR-UHFFFAOYSA-N,BRD-K89917372
66,L01XD06,122335,Efaproxiral,BNFRJXLZYUTIII-UHFFFAOYSA-N,BRD-K37355418
67,C08DA02,1234,Gallopamil,XQLWNAFCTODIRK-UHFFFAOYSA-N,BRD-A52922642
68,N02CC05,123606,Almotriptan,WKEMJKQOLOHJLZ-UHFFFAOYSA-N,BRD-K67601717
69,M01AH05,123619,Etoricoxib,MNJVRJDLRVPLFE-UHFFFAOYSA-N,BRD-K54770957
70,J01CG02,123630,Tazobactam,LPQZKKCYTLCDGQ-WEDXCCLWSA-N,BRD-K14312455
71,L01EB01,123631,Gefitinib,XGALLCVXEZPNRQ-UHFFFAOYSA-N,BRD-K64052750
72,R06AX27,124087,Desloratadine,JAUOIFJMECXRGI-UHFFFAOYSA-N,BRD-K82357231
73,N05AF02,12454,Clopenthixol,WFPIAZLQTJBIFN-UHFFFAOYSA-N,BRD-K00198051
74,C03BA03,12492,Clopamide,LBXHRAWDUMTPSE-AOOOYVTPSA-N,BRD-K15567837
75,N06AX23,125017,Desvenlafaxine,KYYIDSXMWOZKMP-UHFFFAOYSA-N,BRD-A98845662
76,A01AD02,12555,Benzydamine,CNBGNNVCVSKAQZ-UHFFFAOYSA-N,BRD-K28542495
77,D10AF02,12560,Erythromycin,ULGZDMOVFRHVEP-RWJQBGPGSA-N,BRD-K63550407
78,L01BA01,126941,Methotrexate,FBOZXECLQNJBKD-ZDUSSCGKSA-N,BRD-K59456551
79,N07XX03,128919,Xaliproden,WJJYZXPHLSLMGE-UHFFFAOYSA-N,BRD-K88358234
80,D10AF01,129009913,Clindamycin,KDLRVYVGXIQJDK-NQQGAZBYSA-N,BRD-A52252998
81,A10BH03,129009973,Saxagliptin,QGJUIPDUBHWZPV-BBIKMUCQSA-N,BRD-A82156122
82,D11AH02,129010022,Pimecrolimus,KASDHRXLYQOAKZ-RNZHFBRZSA-N,BRD-K97729603
83,A10BF01,129010024,Acarbose,XUFXOAAUWZOOIT-PCKYEMPFSA-N,BRD-K01621533
84,G04CA02,129211,Tamsulosin,DRHKJLXJIQTDTD-OAHLLOKOSA-N,BRD-K74339692
85,N03AF03,129228,Rufinamide,POGQSBRIGCQNEG-UHFFFAOYSA-N,BRD-K20079257
86,B05CA06,1292,Mandelic acid,IWYDHOAUDWTVEP-UHFFFAOYSA-N,BRD-A91448670
87,J01CG01,130313,Sulbactam,FKENQMMABCRJMK-RITPCOANSA-N,BRD-K44133266
88,C09CA08,130881,Olmesartan medoxomil,UQGKUQLKSCSZGY-UHFFFAOYSA-N,BRD-K78485176
89,G03AC03,13109,Levonorgestrel,WWYNJERNGUHSAO-XUDSTZEESA-N,BRD-K35189033
90,J05AX13,131411,Umifenovir,KCFYEAOKVJSACF-UHFFFAOYSA-N,BRD-K73881242
91,J05AE07,131536,Fosamprenavir,MLBVMOWEQCZNCC-OEMFJLHTSA-N,BRD-K59110290
92,N04BD03,131682,Safinamide,NEMGRZFTLSKBAP-LBPRGKRZSA-N,BRD-K92613113
93,L01CA04,13200033,Vinorelbine,GBABOYUKABKIAF-JKVZWNDSSA-N,BRD-K97514127
94,L02BX03,132971,Abiraterone,GZOSMCIZMLWJML-VJLLXTKPSA-N,BRD-K50071428
95,R06AX28,133017,Rupatadine,WUZYKBABMWJHDL-UHFFFAOYSA-N,BRD-K98004573
96,L01CA01,13342,Vinblastine,JXLYSJRDGCGARV-CFWMRBGOSA-N,BRD-K01188359
97,M04AA03,134018,Febuxostat,BQSJTQLCZDPROO-UHFFFAOYSA-N,BRD-K48367671
98,L04AX06,134780,Pomalidomide,UVSMNLNDYGZFPF-UHFFFAOYSA-N,BRD-A12994259
99,H03BB02,1349907,Thiamazole,PMRYVIKBURPHAH-UHFFFAOYSA-N,BRD-K54416256
100,A07DA01,13505,Diphenoxylate,HYPPXZBJBPSRLK-UHFFFAOYSA-N,BRD-K41903098
101,J05AF10,135398508,Entecavir,QDGZDCVAUDNJFG-FXQIFTODSA-N,BRD-K08206212
102,D06BB03,135398513,Aciclovir,MKUXAQIIEYXACX-UHFFFAOYSA-N,BRD-K32318651
103,A16AX07,135398654,Sapropterin,FNKQXYHWGSIFBK-RPDRRWSUSA-N,BRD-K36859431
104,B03BB01,135398658,Folic acid,OVBPIULPVIDEAO-LBPRGKRZSA-N,BRD-K18673820
105,N05AH02,135398737,Clozapine,QZUDBNBUXVUHMW-UHFFFAOYSA-N,BRD-K37289225
106,L01AX04,135398738,Dacarbazine,FDKXTQMXEQVLRF-ZHACJKMWSA-N,BRD-K35520305
107,J05AF02,135398739,Didanosine,BXZVVICBKDXVGW-NKWVEPMBSA-N,BRD-K99063460
108,J05AB06,135398740,Ganciclovir,IRSCQMHQWWYFCW-UHFFFAOYSA-N,BRD-K22662435
109,J05AB11,135398742,Valaciclovir,HDOVUKNUBWVHOX-QMMMGPOBSA-N,BRD-K46435977
110,G04BE03,135398744,Sildenafil,BNRNXUUZRGQAQC-UHFFFAOYSA-N,BRD-K50128260
111,G04BE03,135398744,Sildenafil,BNRNXUUZRGQAQC-UHFFFAOYSA-N,BRD-K79759585
112,N05AH03,135398745,Olanzapine,KVWDHTXUZHCGIO-UHFFFAOYSA-N,BRD-K18895904
113,V03AB04,135398747,Pralidoxime,JBKPUQTUERUYQE-UHFFFAOYSA-O,BRD-K84281997
114,V03AB04,135398747,Pralidoxime,JBKPUQTUERUYQE-UHFFFAOYSA-O,BRD-K61327230
115,D06BB06,135398748,Penciclovir,JNTOCHDNEULJHD-UHFFFAOYSA-N,BRD-K47780086
116,L01BA03,135400182,Raltitrexed,IVTVGDXNLFLDRM-HNNXBMFYSA-N,BRD-K89839824
117,G04BE09,135400189,Vardenafil,SECKRCOLJRRGGV-UHFFFAOYSA-N,BRD-K13926615
118,M04AA01,135401907,Allopurinol,OFCNXPDARWKPPY-UHFFFAOYSA-N,BRD-K86307448
119,L01XX35,135409400,Anagrelide,OTBXOEAOVRKTNQ-UHFFFAOYSA-N,BRD-K62200014
120,A06AX06,135409453,Tegaserod,IKBKZGMPCYNSLU-RGVLZGJSSA-N,BRD-K21806131
121,C09CA09,135409642,Azilsartan medoxomil,QJFSABGVXDWMIW-UHFFFAOYSA-N,BRD-K25723200
122,L01BA04,135410875,Pemetrexed,WBXPDJSOTKVWSJ-ZDUSSCGKSA-N,BRD-K32842773
123,N05BA24,135412795,Bentazepam,AIZFEOPQVZBNGH-UHFFFAOYSA-N,BRD-K89490285
124,J04AB02,135449527,Rifampicin,JQXXHWHPUNPDRT-GHGVGPBWSA-N,BRD-K99912150
125,L01XK04,135565082,Talazoparib,HWGQMRYQVZSGDQ-HZPDHXFCSA-N,BRD-K95142244
126,J04AB05,135749824,Rifapentine,WDZCUPBHRAEYDL-HJTBMZGUSA-N,BRD-K81601344
127,J04AB02,135925261,Rifampicin,JQXXHWHPUNPDRT-YOPQJBRCSA-N,BRD-K01507359
128,J04AB02,135925261,Rifampicin,JQXXHWHPUNPDRT-YOPQJBRCSA-N,BRD-A83892713
129,J04AB05,136238508,Rifapentine,WDZCUPBHRAEYDL-NAFQJNKLSA-N,BRD-K28346421
130,J04AB05,136238508,Rifapentine,WDZCUPBHRAEYDL-NAFQJNKLSA-N,BRD-K55889443
131,R05DB07,13738,Oxolamine,IDCHQQSVJAAUQQ-UHFFFAOYSA-N,BRD-K42596464
132,A07AX03,13764,Nifuroxazide,YCWSUKQGVSGXJO-UHFFFAOYSA-N,BRD-K26104851
133,A14AB02,13765,Ethylestrenol,AOXRBFRFYPMWLR-XGXHKTLJSA-N,BRD-K39391626
134,L01XD04,137,Aminolevulinic acid,ZGXJTSGNIOSYLO-UHFFFAOYSA-N,BRD-K57631554
135,N06BX22,14113,Phenibut,DAFOCGYVTAOKAJ-UHFFFAOYSA-N,BRD-A66920069
136,A05BA04,14520,Citiolone,NRFJZTXWLKPZAV-UHFFFAOYSA-N,BRD-A57957888
137,N06AB10,146570,Escitalopram,WSEQXVZVJXJVFP-FQEVSTJZSA-N,BRD-K70301876
138,L01BA05,148121,Pralatrexate,OGSBUKJUDHAQEA-WMCAAGNKSA-N,BRD-A74914197
139,L01CD02,148124,Docetaxel,ZDZOTLJHXYCWBA-VCVYQWHSSA-N,BRD-K30577245
140,J05AE08,148192,Atazanavir,AXRYRYVKAWYZBR-GASGPIRDSA-N,BRD-K09757388
141,J01MA12,149096,Levofloxacin,GSDSWSVVBLHKDQ-JTQLQIEISA-N,BRD-K09471561
142,C10AX09,150311,Ezetimibe,OLNTVTPDXPETLC-XPWALMASSA-N,BRD-K42260897
143,S01BC10,151075,Nepafenac,QEFAQIPZVLVERP-UHFFFAOYSA-N,BRD-K04112579
144,M01AH06,151166,Lumiracoxib,KHPKQFYUPIUARC-UHFFFAOYSA-N,BRD-K26901728
145,C03XA02,151171,Conivaptan,IKENVDNFQMCRTR-UHFFFAOYSA-N,BRD-K37385792
146,J02AX06,15224271,Anidulafungin,JHVAMHSQVVQIOT-UHFFFAOYSA-N,BRD-A75305484
147,J01MA14,152946,Moxifloxacin,FABPRXSRWADJSP-MEDUHNTESA-N,BRD-K66615216
148,C04AX07,15376,Vincamine,RXPRRQLKFXBCSJ-GIVPXCGWSA-N,BRD-K40902647
149,N05AD03,15387,Melperone,DKMFBWQBDIGMHM-UHFFFAOYSA-N,BRD-K92984783
150,C08CA16,153994,Clevidipine,KPBZROQVTHLCDU-UHFFFAOYSA-N,BRD-A01563671
151,G04BD08,154059,Solifenacin,FBOUYBDGKBSUES-VXKWHMMOSA-N,BRD-K24723746
152,G03XC02,154257,Bazedoxifene,UCJGJABZCDBEDK-UHFFFAOYSA-N,BRD-K90195324
153,N07CA02,1547484,Cinnarizine,DERZBLKQOCDDDZ-JLHYYAGUSA-N,BRD-K07220430
154,N07CA02,1547484,Cinnarizine,DERZBLKQOCDDDZ-JLHYYAGUSA-N,BRD-K32256916
155,M01AB02,1548887,Sulindac,MLKXDPUZXIRXEP-MFOYZWKCSA-N,BRD-A13946108
156,M02AB02,1548942,Zucapsaicin,YKPUWZUDDOIDPM-VURMDHGXSA-N,BRD-K16336526
157,M02AB01,1548943,Capsaicin,YKPUWZUDDOIDPM-SOFGYWHQSA-N,BRD-K50590187
158,G03GB02,1548953,Clomifene,GKIRPKYJQBWNGO-OCEACIFDSA-N,BRD-K04218075
159,G03GB02,1548955,Clomifene,GKIRPKYJQBWNGO-QPLCGJKRSA-N,BRD-K29950728
160,R06AE09,1549000,Levocetirizine,ZKLPARSLTMPFCP-OAQYLSRUSA-N,BRD-K27184429
161,D01AE15,1549008,Terbinafine,DOMXUEMWDBAQBQ-WEVVVXLNSA-N,BRD-K68132782
162,J01XX04,15541,Spectinomycin,UNFWWIHTNXNPBV-WXKVUWSESA-N,BRD-K11905747
163,C01CX07,155774,Xamoterol,DXPOSRCHIDYWHW-UHFFFAOYSA-N,BRD-A59337442
164,G02CC02,156391,Naproxen,CMWTZPSULFXXJA-VIFPVBQESA-N,BRD-K59197931
165,H05BX01,156419,Cinacalcet,VDHAWDNDOKGFTD-MRXNPFEDSA-N,BRD-K73838513
166,J05AF11,159269,Telbivudine,IQFYYKKMVGJFEH-CSMHCCOUSA-N,BRD-K15976406
167,L02BB04,15951529,Enzalutamide,WXCXUHSOUPDCQV-UHFFFAOYSA-N,BRD-K56851771
168,C02KX04,16004692,Macitentan,JGCMEBMXRHSZKX-UHFFFAOYSA-N,BRD-K48812570
169,B01AE06,16129704,Bivalirudin,OIRCOABEOLEUMC-GEJPAHFPSA-N,BRD-K73504359
170,H01CB01,16129706,Somatostatin,NHXLMOGPVYXJNR-ATOGVRKGSA-N,BRD-K14681867
171,R07AX02,16220172,Ivacaftor,PURKAOJPTOLRMP-UHFFFAOYSA-N,BRD-K52818472
172,L01EE02,16222096,Cobimetinib,BSMCAPRUBJMWDF-KRWDZBQOSA-N,BRD-K03390685
173,C03DB01,16231,Amiloride,XSDQTOBWRPYKKA-UHFFFAOYSA-N,BRD-K97181089
174,N05AH05,163091,Asenapine,VSWBSWWIRNCQIJ-HUUCEWRRSA-N,BRD-K95260951
175,N05AH06,16351,Clotiapine,KAAZGXDPUNNEFN-UHFFFAOYSA-N,BRD-K10990317
176,N05AG02,16362,Pimozide,YVUQSNJEYSNKRX-UHFFFAOYSA-N,BRD-K01292756
177,N05AD07,16363,Benperidol,FEBOTPHFXYHVPL-UHFFFAOYSA-N,BRD-K79425933
178,D07AB03,16490,Flumetasone,WXURHACBFYSXBI-GQKYHHCASA-N,BRD-K61496577
179,M01CB03,16667669,Auranofin,AUJRCFUBUPVWSZ-XTZHGVARSA-M,BRD-K45995181
180,A07AA11,16667733,Rifaximin,NZCRJKRKKOLAOJ-HQDKJBBOSA-N,BRD-A62879835
181,L01EJ02,16722836,Fedratinib,JOOXLOJCABQBSG-UHFFFAOYSA-N,BRD-K12502280
182,P02CX03,16760141,Moxidectin,YZBLFMPOMVTDJY-CBYMMZEQSA-N,BRD-K61988078
183,R06AB06,16960,Dexbrompheniramine,ZDIGNSYAACHWNL-HNNXBMFYSA-N,BRD-K22947005
184,N07BA03,170361,Varenicline,JQSHBVHOMNKWFT-UHFFFAOYSA-N,BRD-A86216746
185,A11HA05,171548,Biotin,YBJHBAHKTGYVGT-ZKWXMUAHSA-N,BRD-K89210380
186,N07XX07,1727,Fampridine,NUKYPUAOHBNCPY-UHFFFAOYSA-N,BRD-K22482860
187,C07AB11,175540,S-atenolol,METKIMKYRPQLGS-LBPRGKRZSA-N,BRD-K44993696
188,A04AA02,17572266,Granisetron,MFWNKCLOYSRHCJ-KBPBESRZSA-N,BRD-K05510762
189,N01BB09,175805,Ropivacaine,ZKMNUMMKYBVTFN-HNNXBMFYSA-N,BRD-K50938786
190,L01EB02,176870,Erlotinib,AAKJLRGGTJKAMG-UHFFFAOYSA-N,BRD-K70401845
191,N03AB02,1775,Phenytoin,CXOFVDLJLONNDW-UHFFFAOYSA-N,BRD-K55930204
192,J05AF04,18283,Stavudine,XNKLLVCARDGLGL-JGVFFNPUSA-N,BRD-K93880783
193,J01CF01,18381,Dicloxacillin,YFAGHNZHGGCZAX-JKIFEVAISA-N,BRD-K05673000
194,S01EB09,187,Acetylcholine,OIPILFWXSMYKGL-UHFFFAOYSA-N,BRD-K82381502
195,C07AB12,189562,Nebivolol,KOHIRBRYDXPAMZ-YHBROIRLSA-N,BRD-K04956647
196,A01AB07,1923,Oxyquinoline,MCJGNVYPOGVAJF-UHFFFAOYSA-N,BRD-K66808046
197,N06DA01,1935,Tacrine,YLJREFDVOIBQDA-UHFFFAOYSA-N,BRD-K81473089
198,J05AG04,193962,Etravirine,PYGWGZALEOIKDF-UHFFFAOYSA-N,BRD-K74717603
199,N06AF04,19493,Tranylcypromine,AELCINSCMGFISI-DTWKUNHWSA-N,BRD-K47029922
200,C05AX05,196122,Tribenoside,ULLNJSBQMBKOJH-VIVFLBMVSA-N,BRD-A60294240
201,P02CX02,19667,Bephenium,AVWWVJUMXRXPNF-UHFFFAOYSA-N,BRD-K47878171
202,C07AB04,1978,Acebutolol,GOEMGAFJFRBGGG-UHFFFAOYSA-N,BRD-A29260609
203,S01EB08,1979,Aceclidine,WRJPSSPFHGNBMG-UHFFFAOYSA-N,BRD-A80567352
204,S01EB08,1979,Aceclidine,WRJPSSPFHGNBMG-UHFFFAOYSA-N,BRD-A32673558
205,M01AB11,1981,Acemetacin,FSQKKOOTNAMONP-UHFFFAOYSA-N,BRD-K67563174
206,N02BE01,1983,Paracetamol,RZVAJINKPMORJF-UHFFFAOYSA-N,BRD-K41524689
207,S01EC01,1986,Acetazolamide,BZKPWHYZMXOIDC-UHFFFAOYSA-N,BRD-K43457670
208,A10BB31,1989,Acetohexamide,VGZSUPCWNCWDAN-UHFFFAOYSA-N,BRD-K52960356
209,C02AA07,20054848,Bietaserpine,WFTSRDISOMSAQC-ZNFOTRSXSA-N,BRD-K25210139
210,J01FA08,202225,Troleandomycin,LQCLVBQBTUVCEQ-QTFUVMRISA-N,BRD-K38310698
211,L01BB04,20279,Cladribine,PTOAARAWEBMLNO-KVQBGUIXSA-N,BRD-K93034159
212,A03AB08,20299,Tridihexethyl,NPRHVSBSZMAEIN-UHFFFAOYSA-N,BRD-A22152765
213,R06AX16,203911,Deptropine,ZWPODSUQWXAZNC-YOFSQIOKSA-N,BRD-A65797496
214,N06AB07,2081,Alaproclate,FZSPJBYOKQPKCD-UHFFFAOYSA-N,BRD-A14966924
215,P02CA03,2082,Albendazole,HXHWSAZORRCQMX-UHFFFAOYSA-N,BRD-K79131256
216,R03AC02,2083,Salbutamol,NDAUXUAQIAJITI-UHFFFAOYSA-N,BRD-A88254928
217,C01BD07,208898,Dronedarone,ZQTNQVWKHCQYLQ-UHFFFAOYSA-N,BRD-K05524748
218,M05BA04,2088,Alendronic acid,OGSPWJRAVKPPFI-UHFFFAOYSA-N,BRD-K75527158
219,N05CH02,208902,Ramelteon,YLXDSYKOBKBWJQ-LBPRGKRZSA-N,BRD-K28761891
220,L01EH01,208908,Lapatinib,BCFGMOOMADDAQU-UHFFFAOYSA-N,BRD-M07438658
221,L01EH01,208908,Lapatinib,BCFGMOOMADDAQU-UHFFFAOYSA-N,BRD-K19687926
222,G04CA01,2092,Alfuzosin,WNMJYKCGWZFFKR-UHFFFAOYSA-N,BRD-A09056319
223,A03AE01,2099,Alosetron,JSWZEAMFRNKZNL-UHFFFAOYSA-N,BRD-K46742498
224,C01EB15,21109,Trimetazidine,UHWVSEOVJBQKBE-UHFFFAOYSA-N,BRD-K88366685
225,N05BA12,2118,Alprazolam,VREFGVBLTWBCJP-UHFFFAOYSA-N,BRD-K32398298
226,C07AA01,2119,Alprenolol,PAZJSJFMUHDSTF-UHFFFAOYSA-N,BRD-A00993607
227,L01XX03,2123,Altretamine,UUVWYPNAQBNQJQ-UHFFFAOYSA-N,BRD-K67043667
228,J05AE10,213039,Darunavir,CJBJHOAVZSMMDJ-HEXNFIEUSA-N,BRD-K84986517
229,N05AE05,213046,Lurasidone,PQXKDMSYBGKCJA-CVTJIBDQSA-N,BRD-K51143828
230,N04BB01,2130,Amantadine,DKNWSYNQZKUICI-UHFFFAOYSA-N,BRD-K70330367
231,N07AA30,2131,Ambenonium,OMHBPUNFVFNHJK-UHFFFAOYSA-P,BRD-K11292736
232,V08AA01,2140,Diatrizoic acid,YVPYQUNUQOZFHG-UHFFFAOYSA-N,BRD-K48247567
233,V03AF05,2141,Amifostine,JKOQGQFVAUAYPM-UHFFFAOYSA-N,BRD-K73947551
234,G01AX17,214347,Dapivirine,ILAYIAGXTHKHNT-UHFFFAOYSA-N,BRD-K12885236
235,V03AC03,214348,Deferasirox,BOFQWVMAQOTZIW-UHFFFAOYSA-N,BRD-K97010173
236,L02BG01,2145,Aminoglutethimide,ROBVIMPUHSLWNV-UHFFFAOYSA-N,BRD-A25234499
237,V04CH30,2148,Aminohippuric acid,HSMNQINEKMPTIC-UHFFFAOYSA-N,BRD-K65544384
238,R03DA04,2153,Theophylline,ZFXYFBGIUFBOJW-UHFFFAOYSA-N,BRD-K97799481
239,C01BD01,2157,Amiodarone,IYIKLHRQXLHMJQ-UHFFFAOYSA-N,BRD-K17561142
240,N05AL05,2159,Amisulpride,NTJOBXMMWNYJFB-UHFFFAOYSA-N,BRD-A60197193
241,N06AA09,2160,Amitriptyline,KRMDCWKBEZIMAB-UHFFFAOYSA-N,BRD-K53737926
242,A01AD07,2161,Amlexanox,SGRYPYWGNKJSDL-UHFFFAOYSA-N,BRD-K29530284
243,C02KX03,216235,Sitaxentan,PHWXUGHIIBDVKD-UHFFFAOYSA-N,BRD-K63806092
244,C03XA01,216237,Tolvaptan,GYHCTFXIZSNGJT-UHFFFAOYSA-N,BRD-A82035391
245,L01EX02,216239,Sorafenib,MLDQJTXFUGDVEO-UHFFFAOYSA-N,BRD-K23984367
246,C08CA01,2162,Amlodipine,HTIQEAQVCYTUBX-UHFFFAOYSA-N,BRD-A64297288
247,C08CA01,2162,Amlodipine,HTIQEAQVCYTUBX-UHFFFAOYSA-N,BRD-A22032524
248,L04AX04,216326,Lenalidomide,GOTYRUGSSMKFNF-UHFFFAOYSA-N,BRD-A17883755
249,P01BA06,2165,Amodiaquine,OVCDSSHSILBFBN-UHFFFAOYSA-N,BRD-K91290917
250,J05AB03,21704,Vidarabine,OIRDTQYFTABQOQ-UHTZMRCNSA-N,BRD-K72093121
